livestock_category_type;livestock_production_type;ipcc_region;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1 month;Poultry manure;Deep bedding;Composting;Aerobic treatment;Other
Dairy cattle;High-Productivity;Sub-Saharan Africa;0;0;20;29;45;0;0;6;0;0;0;0;0;0;
Dairy cattle;High-Productivity;East Asia and South-East Asia;0;1;21;29;38;0;0;11;0;0;0;0;0;0;
Dairy cattle;High-Productivity;North America;26;24;24;0;15;11;0;0;0;0;0;0;0;0;
Dairy cattle;High-Productivity;Latin America and the Caribbean;0;0;5;38;57;0;0;0;0;0;0;0;0;0;
Dairy cattle;High-Productivity;Western Europe;0;43;29;0;26;2;0;0;0;0;0;0;0;0;
Dairy cattle;High-Productivity;Eastern Europe;0;5;74;0;20;1;0;0;0;0;0;0;0;0;
Dairy cattle;High-Productivity;Russian Federation;0;5;74;0;20;1;0;0;0;0;0;0;0;0;
Dairy cattle;High-Productivity;Oceania;5;0;0;0;94;1;0;0;0;0;0;0;0;0;
Dairy cattle;High-Productivity;NENA/Middle East;0;0;14;35;46;0;0;5;0;0;0;0;0;0;
Dairy cattle;High-Productivity;South Asia;0;0;1;49;30;0;0;20;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;Sub-Saharan Africa;0;0;20;29;45;0;0;6;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;East Asia and South-East Asia;0;1;21;29;38;0;0;11;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;North America;26;24;24;0;15;11;0;0;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;Latin America and the Caribbean;0;0;5;38;57;0;0;0;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;Western Europe;0;43;29;0;26;2;0;0;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;Eastern Europe;0;5;74;0;20;1;0;0;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;Russian Federation;0;5;74;0;20;1;0;0;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;Oceania;5;0;0;0;94;1;0;0;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;NENA/Middle East;0;0;14;35;46;0;0;5;0;0;0;0;0;0;
Dairy cattle;Low-Productivity;South Asia;0;0;1;49;30;0;0;20;0;0;0;0;0;0;
Dairy cattle;Default;Sub-Saharan Africa;0;0;20;29;45;0;0;6;0;0;0;0;0;0;
Dairy cattle;Default;East Asia and South-East Asia;0;1;21;29;38;0;0;11;0;0;0;0;0;0;
Dairy cattle;Default;North America;26;24;24;0;15;11;0;0;0;0;0;0;0;0;
Dairy cattle;Default;Latin America and the Caribbean;0;0;5;38;57;0;0;0;0;0;0;0;0;0;
Dairy cattle;Default;Western Europe;0;43;29;0;26;2;0;0;0;0;0;0;0;0;
Dairy cattle;Default;Eastern Europe;0;5;74;0;20;1;0;0;0;0;0;0;0;0;
Dairy cattle;Default;Russian Federation;0;5;74;0;20;1;0;0;0;0;0;0;0;0;
Dairy cattle;Default;Oceania;5;0;0;0;94;1;0;0;0;0;0;0;0;0;
Dairy cattle;Default;NENA/Middle East;0;0;14;35;46;0;0;5;0;0;0;0;0;0;
Dairy cattle;Default;South Asia;0;0;1;49;30;0;0;20;0;0;0;0;0;0;
Other cattle;High-Productivity;Sub-Saharan Africa;0;0;15;30;50;0;0;5;0;0;0;0;0;0;
Other cattle;High-Productivity;East Asia and South-East Asia;0;0;29;28;36;0;0;7;0;0;0;0;0;0;
Other cattle;High-Productivity;North America;0;1;43;14;42;0;0;0;0;0;0;0;0;0;
Other cattle;High-Productivity;Latin America and the Caribbean;0;0;3;5;92;0;0;0;0;0;0;0;0;0;
Other cattle;High-Productivity;Western Europe;0;22;26;0;48;4;0;0;0;0;0;0;0;0;
Other cattle;High-Productivity;Eastern Europe;0;64;5;0;31;0;0;0;0;0;0;0;0;0;
Other cattle;High-Productivity;Russian Federation;0;64;5;0;31;0;0;0;0;0;0;0;0;0;
Other cattle;High-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Other cattle;High-Productivity;NENA/Middle East;0;0;5;46;42;0;0;7;0;0;0;0;0;0;
Other cattle;High-Productivity;South Asia;0;0;1;49;30;0;0;20;0;0;0;0;0;0;
Other cattle;Low-Productivity;Sub-Saharan Africa;0;0;15;30;50;0;0;5;0;0;0;0;0;0;
Other cattle;Low-Productivity;East Asia and South-East Asia;0;0;29;28;36;0;0;7;0;0;0;0;0;0;
